%frequency bm_in.mag bm_in.rad carrier.mag carrier.rad bask_out.mag bask_out.rad rec_wv.mag rec_wv.rad lps_wv.mag lps_wv.rad bm_out.mag bm_out.rad
1  0 0  0 0  0 0  0 0  0 0  0 0
2.99357729472  0 0  0 0  0 0  0 0  0 0  0 0
8.96150501947  0 0  0 0  0 0  0 0  0 0  0 0
26.8269579528  0 0  0 0  0 0  0 0  0 0  0 0
80.3085722139  0 0  0 0  0 0  0 0  0 0  0 0
240.409918351  0 0  0 0  0 0  0 0  0 0  0 0
719.685673001  0 0  0 0  0 0  0 0  0 0  0 0
2154.43469003  0 0  0 0  0 0  0 0  0 0  0 0
6449.46677104  0 0  0 0  0 0  0 0  0 0  0 0
19306.9772888  0 0  0 0  0 0  0 0  0 0  0 0
57796.9288415  0 0  0 0  0 0  0 0  0 0  0 0
173019.573885  0 0  0 0  0 0  0 0  0 0  0 0
517947.467923  0 0  0 0  0 0  0 0  0 0  0 0
1550515.77983  0 0  0 0  0 0  0 0  0 0  0 0
4641588.83361  0 0  0 0  0 0  0 0  0 0  0 0
13894954.9437  0 0  0 0  0 0  0 0  0 0  0 0
41595621.6307  0 0  0 0  0 0  0 0  0 0  0 0
124519708.474  0 0  0 0  0 0  0 0  0 0  0 0
372759372.031  0 0  0 0  0 0  0 0  0 0  0 0
1115883992.51  0 0  0 0  0 0  0 0  0 0  0 0
3340484983.51  0 0  0 0  0 0  0 0  0 0  0 0
10000000000  0 0  0 0  0 0  0 0  0 0  0 0
