%time bm_in carrier bask_out rec_wv lps_wv bm_out
0 1 0 0 0 0 0
5e-10 1 0.15643446504 0.15643446504 0.15643446504 0.00399873947899 0
1e-09 1 0.309016994375 0.309016994375 0.309016994375 0.0156920660807 0
1.5e-09 1 0.45399049974 0.45399049974 0.45399049974 0.0343936432583 0
2e-09 1 0.587785252292 0.587785252292 0.587785252292 0.0592649360943 0
2.5e-09 1 0.707106781187 0.707106781187 0.707106781187 0.0893348175283 0
3e-09 1 0.809016994375 0.809016994375 0.809016994375 0.123522492678 0
3.5e-09 1 0.891006524188 0.891006524188 0.891006524188 0.160663174057 0
4e-09 1 0.951056516295 0.951056516295 0.951056516295 0.199535872905 0
4.5e-09 1 0.987688340595 0.987688340595 0.987688340595 0.23889261985 0
5e-09 1 1 1 1 0.277488393086 0
5.5e-09 1 0.987688340595 0.987688340595 0.987688340595 0.314111014918 0
6e-09 1 0.951056516295 0.951056516295 0.951056516295 0.34761027843 0
6.5e-09 1 0.891006524188 0.891006524188 0.891006524188 0.376925585094 0
7e-09 1 0.809016994375 0.809016994375 0.809016994375 0.401111410911 0
7.5e-09 1 0.707106781187 0.707106781187 0.707106781187 0.419359972231 0
8e-09 1 0.587785252292 0.587785252292 0.587785252292 0.431020531438 0
8.5e-09 1 0.45399049974 0.45399049974 0.45399049974 0.435614865539 0
9e-09 1 0.309016994375 0.309016994375 0.309016994375 0.432848515225 0
9.5e-09 1 0.15643446504 0.15643446504 0.15643446504 0.422617535972 0
1e-08 1 -3.21628574468e-16 -3.21628574468e-16 3.21628574468e-16 0.405010583571 0
1.05e-08 1 -0.15643446504 -0.15643446504 0.15643446504 0.388303760378 0
1.1e-08 1 -0.309016994375 -0.309016994375 0.309016994375 0.380350065351 0
1.15e-08 1 -0.45399049974 -0.45399049974 0.45399049974 0.38040904561 0
1.2e-08 1 -0.587785252292 -0.587785252292 0.587785252292 0.387590816519 0
1.25e-08 1 -0.707106781187 -0.707106781187 0.707106781187 0.400875526479 0
1.3e-08 1 -0.809016994375 -0.809016994375 0.809016994375 0.419136147039 0
1.35e-08 1 -0.891006524188 -0.891006524188 0.891006524188 0.441164020766 0
1.4e-08 1 -0.951056516295 -0.951056516295 0.951056516295 0.465696531736 0
1.45e-08 1 -0.987688340595 -0.987688340595 0.987688340595 0.491446211543 0
1.5e-08 1 -1 -1 1 0.517130558676 0
1.55e-08 1 -0.987688340595 -0.987688340595 0.987688340595 0.541501831828 0
1.6e-08 1 -0.951056516295 -0.951056516295 0.951056516295 0.563376078608 0
1.65e-08 1 -0.891006524188 -0.891006524188 0.891006524188 0.581660680201 0
1.7e-08 1 -0.809016994375 -0.809016994375 0.809016994375 0.595379729311 0
1.75e-08 1 -0.707106781187 -0.707106781187 0.707106781187 0.603696612287 0
1.8e-08 1 -0.587785252292 -0.587785252292 0.587785252292 0.605933235409 0
1.85e-08 1 -0.45399049974 -0.45399049974 0.45399049974 0.601585418116 0
1.9e-08 1 -0.309016994375 -0.309016994375 0.309016994375 0.590334070577 0
1.95e-08 1 -0.15643446504 -0.15643446504 0.15643446504 0.57205187694 0
2e-08 1 6.43257148936e-16 6.43257148936e-16 6.43257148936e-16 0.546805316494 0
2.05e-08 1 0.15643446504 0.15643446504 0.15643446504 0.522849448837 0
2.1e-08 1 0.309016994375 0.309016994375 0.309016994375 0.508017305943 0
2.15e-08 1 0.45399049974 0.45399049974 0.45399049974 0.501549488734 0
2.2e-08 1 0.587785252292 0.587785252292 0.587785252292 0.502538134972 0
2.25e-08 1 0.707106781187 0.707106781187 0.707106781187 0.509946334534 0
2.3e-08 1 0.809016994375 0.809016994375 0.809016994375 0.522630872533 0
2.35e-08 1 0.891006524188 0.891006524188 0.891006524188 0.539367732613 0
2.4e-08 1 0.951056516295 0.951056516295 0.951056516295 0.558879725126 0
2.45e-08 1 0.987688340595 0.987688340595 0.987688340595 0.579865553001 0
2.5e-08 1 1 1 1 0.601029593036 0
2.55e-08 1 0.987688340595 0.987688340595 0.987688340595 0.621111653055 0
